,Team,Year,Bronze,Gold,Silver
808,Italy,1906,1,3,5
809,Italy,1908,0,2,6
810,Italy,1912,2,22,1
811,Italy,1920,8,67,9
812,Italy,1924,21,25,5
813,Italy,1928,26,24,22
814,Italy,1932,18,21,38
815,Italy,1936,5,31,34
816,Italy,1948,14,21,32
817,Italy,1952,15,15,22
818,Italy,1956,10,26,9
819,Italy,1960,31,36,18
820,Italy,1964,9,14,28
821,Italy,1968,20,5,8
822,Italy,1972,13,9,3
823,Italy,1976,4,2,25
824,Italy,1980,8,8,21
825,Italy,1984,28,29,6
826,Italy,1988,8,11,10
827,Italy,1992,14,21,10
828,Italy,1996,28,19,24
829,Italy,2000,29,22,14
830,Italy,2004,39,24,41
831,Italy,2008,20,8,14
832,Italy,2012,30,16,22
833,Italy,2016,24,8,38
834,Italy-1,2016,0,0,2
835,Jamaica,1948,0,1,2
836,Jamaica,1952,0,5,3
837,Jamaica,1968,0,0,1
838,Jamaica,1972,1,0,0
839,Jamaica,1976,0,1,1
840,Jamaica,1980,3,0,0
841,Jamaica,1984,2,0,5
